position,entry_time,exit_time,duration,color
"(199, 553)",1718177018.6,1718177403.45,384.85,Blue
"(198, 601)",1718177018.6,1718177403.45,384.85,Blue
"(172, 569)",1718177312.73,1718177403.45,90.73,Violet
"(171, 600)",1718177311.93,1718177403.45,91.52,Blue
"(99, 592)",1718177018.71,1718177403.45,384.74,Blue
"(361, 410)",1718177018.71,1718177403.45,384.74,Blue
"(361, 473)",1718177018.6,1718177403.45,384.85,Red
"(356, 608)",1718177018.6,1718177403.45,384.85,Red
"(1017, 516)",1718177018.6,1718177403.55,384.94,Green
"(1045, 515)",1718177018.6,1718177403.55,384.94,Green
"(1043, 531)",1718177018.6,1718177403.55,384.94,Black
"(857, 219)",1718177018.6,1718177403.55,384.94,Blue
"(859, 557)",1718177018.6,1718177403.55,384.94,Green
"(486, 329)",1718177018.6,1718177403.55,384.94,Blue
"(295, 601)",1718177018.6,1718177403.55,384.94,Green
"(386, 497)",1718177018.6,1718177403.55,384.94,Green
"(172, 491)",1718177018.71,1718177403.55,384.83,Blue
"(172, 553)",1718177018.6,1718177403.55,384.94,Green
"(171, 584)",1718177018.71,1718177403.55,384.83,Black
"(99, 529)",1718177018.71,1718177403.55,384.83,Blue
"(361, 460)",1718177018.6,1718177403.55,384.94,Blue
"(360, 510)",1718177019.44,1718177403.55,384.11,Green
"(358, 598)",1718177018.71,1718177403.55,384.83,Blue
