position,entry_time,exit_time,duration,color
"(830, 295)",1718177271.37,1718177274.29,2.92,White
"(1014, 256)",1718177269.71,1718177274.86,5.15,Blue
"(766, 526)",1718177272.95,1718177275.14,2.19,Red
"(1042, 348)",1718177271.37,1718177275.66,4.29,Red
"(1014, 302)",1718177264.92,1718177275.93,11.01,White
"(1040, 165)",1718177271.9,1718177275.93,4.03,White
"(1014, 256)",1718177275.14,1718177277.63,2.5,Blue
"(675, 496)",1718177018.71,1718177277.63,258.92,Green
"(294, 586)",1718177261.66,1718177278.49,16.83,Red
"(859, 511)",1718177018.71,1718177279.31,260.6,Green
"(1014, 302)",1718177276.78,1718177279.59,2.81,White
"(1040, 165)",1718177277.06,1718177279.59,2.52,White
"(1041, 302)",1718177018.71,1718177279.87,261.15,Red
"(949, 307)",1718177278.21,1718177280.92,2.71,Red
"(674, 264)",1718177244.46,1718177280.92,36.46,White
"(460, 399)",1718177275.4,1718177280.92,5.52,Red
"(487, 353)",1718177261.66,1718177281.2,19.54,Red
"(674, 310)",1718177275.66,1718177281.46,5.8,Gray
"(1014, 256)",1718177277.93,1718177281.76,3.83,Violet
"(1042, 348)",1718177280.65,1718177284.43,3.78,Red
"(384, 586)",1718177272.42,1718177284.7,12.28,White
"(459, 384)",1718177248.0,1718177284.96,36.96,White
"(647, 341)",1718177281.2,1718177285.75,4.55,Black
"(1012, 195)",1718177240.69,1718177286.8,46.11,White
"(459, 384)",1718177285.22,1718177287.32,2.1,White
"(1014, 256)",1718177285.49,1718177287.58,2.1,Violet
"(1040, 165)",1718177280.4,1718177288.11,7.71,White
"(294, 586)",1718177283.1,1718177289.97,6.87,Red
"(487, 353)",1718177287.85,1718177290.5,2.66,Blue
"(674, 557)",1718177279.31,1718177291.02,11.71,Red
"(384, 586)",1718177286.53,1718177291.02,4.49,White
"(1012, 195)",1718177287.85,1718177291.29,3.44,White
"(1107, 150)",1718177285.22,1718177292.37,7.15,Red
"(460, 399)",1718177281.2,1718177292.94,11.75,Red
"(766, 450)",1718177019.18,1718177293.46,274.28,Red
"(1042, 348)",1718177287.85,1718177294.84,6.99,Red
"(1014, 256)",1718177287.85,1718177295.65,7.8,Gray
"(923, 430)",1718177251.4,1718177296.71,45.31,Gray
"(949, 186)",1718177254.74,1718177296.71,41.97,Red
"(459, 493)",1718177268.37,1718177296.71,28.34,Blue
"(487, 353)",1718177291.57,1718177296.71,5.15,White
"(294, 433)",1718177293.73,1718177296.71,2.98,Gray
"(581, 499)",1718177280.13,1718177297.25,17.12,White
"(384, 586)",1718177291.57,1718177297.25,5.69,White
"(859, 542)",1718177018.71,1718177298.31,279.6,Green
"(171, 538)",1718177266.93,1718177298.31,31.38,Blue
"(171, 600)",1718177266.93,1718177298.85,31.92,White
"(923, 430)",1718177296.99,1718177301.53,4.54,Gray
"(647, 341)",1718177301.0,1718177303.09,2.09,Black
"(485, 445)",1718177018.6,1718177303.09,284.49,White
"(949, 186)",1718177296.99,1718177303.88,6.89,Red
"(859, 511)",1718177280.65,1718177306.02,25.36,White
"(832, 511)",1718177018.93,1718177306.83,287.89,Red
"(647, 341)",1718177304.15,1718177306.83,2.68,Black
"(580, 608)",1718177307.35,1718177309.49,2.14,Black
"(1040, 165)",1718177306.02,1718177309.79,3.77,White
"(921, 140)",1718177221.22,1718177310.06,88.84,Red
"(581, 499)",1718177301.53,1718177311.15,9.62,Blue
"(460, 399)",1718177296.71,1718177311.67,14.95,Red
"(487, 353)",1718177309.49,1718177311.67,2.18,Red
"(1014, 256)",1718177306.56,1718177312.19,5.63,White
"(1040, 165)",1718177310.34,1718177312.46,2.12,White
"(1014, 302)",1718177280.13,1718177312.98,32.86,White
"(1108, 271)",1718177018.93,1718177312.98,294.05,Red
"(1108, 210)",1718177245.82,1718177313.25,67.43,Red
"(765, 112)",1718177052.78,1718177313.25,260.47,Red
